431876,Jacilyn,30,2,1989/1/10,fQ-6igohf,13100169173
204862,Liberty,13,2,2005/10/10,"eF,0db",13100211600
994459,Yoli,23,1,1996/6/6,"lK""4qimgk",13100212503
791895,Neharika,57,2,1961/9/16,hQ~2ji,13100243523
996311,Sakiyah,24,2,1995/2/4,qG{3ksna,13100286462
1099818,Aylana,21,2,1997/9/3,qE&9xqsaco,13100417709
277356,Ally,29,2,1989/9/9,uX<4pfusb,13100437927
279799,Anjanae,59,2,1960/6/17,sY-7jluk,13100512189
93581,Kerrin,34,2,1985/3/7,wU^6hrxy,13100530344
891310,Kathlynn,31,2,1988/1/7,aA>3ehxapu,13100538752
439147,Sinclair,38,2,1981/2/1,zV=4csp,13100562916
259800,Kenya,22,1,1997/3/8,aR@7fslobw,13100578746
669864,Pieper,59,2,1960/1/10,iT`4wymhp,13100622127
913805,Tenijah,44,2,1975/4/23,nZ(5idycmug,13100671470
253238,Allene,54,2,1965/4/11,tH/0vc,13100712994
133879,Tahjanae,23,2,1996/6/20,rF/5now,13100719918
275787,Brenton,52,2,1967/2/23,vS|1bk,13100749193
614398,Nazirah,48,2,1970/8/24,uG)9orxflca,13100756488
425353,Amily,20,2,1998/9/11,bX>7hfrqpbi,13100811632
309419,Ayme,15,2,2003/9/2,iR:9xtd,13100846479
490366,Kalinda,38,2,1980/12/13,dT@4dysc,13100855366
689419,Tallia,44,1,1974/11/24,lV|5pdygnk,13101131844
274508,Sari,32,2,1987/2/15,"eJ""7wme",13101156415
750822,Mckinna,46,2,1973/6/16,gZ]1fuprs,13101168111
937805,Takyrah,20,1,1999/4/21,"mQ""5anbs",13101207250
684221,Cayce,12,1,2007/2/10,"qM""8moate",13101345955
75652,Bracie,44,2,1974/10/3,oA}1lft,13101368726
1105860,Makina,58,2,1960/10/10,iO/0jkuyrl,13101450440
363480,Yaritza,51,2,1968/5/21,pI/0vb,13101616297
347205,Carlisa,29,1,1989/11/19,oA*6ynf,13101621439
170860,Xzavier,36,2,1982/7/14,bC_4qfn,13101658819
871795,Mirian,31,1,1987/7/5,jD<7tgnkp,13101729871
323048,Betina,41,2,1977/10/6,eP=9lp,13101808616
247866,Aleiah,27,2,1992/6/23,"dB,0fdbirx",13101849215
571190,Esmerelda,19,1,1999/9/4,bH1ipbkhd,13101991933
1141548,Lance,29,2,1990/5/27,dP:6srqtuwx,13102133826
889626,Taylah,29,2,1990/6/18,fT|6rxftb,13102136543
629170,Oliviya,31,2,1988/5/29,nV*2vr,13102238172
1064867,Afifa,59,2,1960/4/7,oT#3dfps,13102263783
357141,Kennis,13,1,2005/10/25,aZ$7gca,13102371659
621112,Naija,56,2,1963/4/1,lL!5hgam,13102390870
204551,Bo,36,2,1983/3/17,"hA,5mdhoq",13102405230
468326,Farris,24,2,1994/11/19,pU{9blq,13102535108
327297,Carol,12,2,2006/11/23,cX}2wqnbja,13102539498
801110,Clowie,54,2,1964/8/16,iQ6nrk,13102540161
1093040,Lujain,35,2,1983/12/26,nK{0dl,13102563835
225218,Trany,21,1,1998/4/13,"tF,8xt",13102598303
977893,Anisia,42,2,1977/3/11,mR(4tl,13102605992
767161,Chadwick,15,2,2004/6/7,bJ>5stuyb,13102606430
136664,Copper,41,2,1978/2/6,"uC""1vugtpko",13102610827
590185,Konrad,37,1,1981/8/31,vG`1qhsocu,13102724806
1003613,Jhordyn,55,2,1964/4/19,"dA,7vtsc",13102737316
129118,Todd,55,2,1963/7/2,nS[1qj,13102764562
851637,Jahlia,56,1,1962/10/15,aF.3sfxoing,13102770606
